Date,Time,Amount,Price,<Unknown>
2018.08.07,11:22:07,1.42406053,7084.1,276683123
2018.08.07,11:22:18,-0.00602614,7083.2,276683158
2018.08.07,11:22:52,-0.04253467,7083.8,276683276
2018.08.07,11:22:55,-0.005,7084.7,276683283
2018.08.07,11:22:55,0.95746533,7085,276683284
2018.08.07,11:22:55,1,7085,276683285
2018.08.07,11:22:55,0.161,7085,276683286
2018.08.07,11:22:56,1,7085,276683287
2018.08.07,11:22:56,0.161,7085,276683288
2018.08.07,11:22:56,0.161,7085,276683289
2018.08.07,11:22:56,0.161,7085,276683290
2018.08.07,11:22:57,0.078,7085,276683291
2018.08.07,11:22:58,0.078,7085,276683298
2018.08.07,11:22:59,0.161,7085,276683302
2018.08.07,11:23:00,0.74379006,7085,276683304
2018.08.07,11:23:00,0.161,7085,276683305
2018.08.07,11:23:00,-0.01666667,7084.9,276683310
2018.08.07,11:23:04,0.16669959,7085,276683320
2018.08.07,11:23:07,0.06,7085,276683323
2018.08.07,11:23:11,0.17,7085,276683331
2018.08.07,11:23:11,0.02,7085,276683336
2018.08.07,11:23:12,0.0211,7085,276683344
2018.08.07,11:23:17,0.16,7085,276683374
2018.08.07,11:23:20,0.00469208,7085,276683384
2018.08.07,11:23:22,0.05216484,7085,276683390
2018.08.07,11:23:22,0.07,7085,276683392
2018.08.07,11:23:22,0.03,7085,276683393
2018.08.07,11:23:22,0.06,7085,276683394
2018.08.07,11:23:22,0.04,7085,276683395
2018.08.07,11:23:22,0.04,7085,276683396
2018.08.07,11:23:23,0.2,7085,276683397
2018.08.07,11:23:23,0.11,7085,276683398
2018.08.07,11:23:23,0.05,7085,276683399
2018.08.07,11:23:23,0.00479553,7085,276683400
2018.08.07,11:23:23,0.1,7085,276683401
2018.08.07,11:23:23,0.00409513,7085,276683402
2018.08.07,11:23:23,0.7388,7085,276683404
2018.08.07,11:23:24,3,7085,276683407
2018.08.07,11:23:24,0.15,7085,276683408
2018.08.07,11:23:24,0.06,7085,276683409
2018.08.07,11:23:24,0.11,7085,276683410
2018.08.07,11:23:24,0.40359971,7085,276683411
2018.08.07,11:23:25,0.15,7085,276683412
2018.08.07,11:23:25,0.02,7085,276683413
2018.08.07,11:23:25,0.02,7085,276683414
2018.08.07,11:23:25,0.1,7085,276683415
2018.08.07,11:23:25,0.07,7085,276683416
2018.08.07,11:23:25,0.03,7085,276683417
2018.08.07,11:23:25,0.09,7085,276683418
2018.08.07,11:23:25,0.1,7085,276683419
2018.08.07,11:23:25,0.02,7085,276683420
2018.08.07,11:23:26,0.1,7085,276683421
2018.08.07,11:23:26,0.28683423,7085,276683422
2018.08.07,11:23:26,0.25468158,7085,276683423
2018.08.07,11:23:26,0.00285938,7085,276683424
2018.08.07,11:23:26,0.00320186,7085,276683425
2018.08.07,11:23:26,0.07,7085,276683426
2018.08.07,11:23:26,0.14,7085,276683428
2018.08.07,11:23:26,0.06,7085,276683429
2018.08.07,11:23:26,0.03,7085,276683430
2018.08.07,11:23:26,0.35,7085,276683431
2018.08.07,11:23:26,0.03,7085,276683432
2018.08.07,11:23:26,2.5,7085,276683433
2018.08.07,11:23:27,0.04,7085,276683434
2018.08.07,11:23:27,2.5,7085,276683435
2018.08.07,11:23:27,0.02,7085,276683436
2018.08.07,11:23:27,-0.38049447,7084.9,276683437
2018.08.07,11:23:27,1.91501714,7085,276683440
2018.08.07,11:23:35,0.5,7087,276683460
2018.08.07,11:23:39,-0.025,7087.4,276683471
2018.08.07,11:24:07,0.04451239,7087.5,276683511
2018.08.07,11:24:07,1.95548761,7088.2,276683512
2018.08.07,11:24:10,0.04862964,7088.1,276683520
2018.08.07,11:24:10,0.15451239,7088.2,276683521
2018.08.07,11:24:10,0.29685797,7089.60196019,276683523
2018.08.07,11:24:10,0.025,7089.6,276683526
2018.08.07,11:24:10,0.02315476,7089.6,276683527
2018.08.07,11:24:10,1.11314203,7089.60196019,276683529
2018.08.07,11:24:10,0.4991919,7090.7,276683530
2018.08.07,11:24:10,0.004,7090.7,276683531
2018.08.07,11:24:10,1,7090.9,276683532
2018.08.07,11:24:10,0.2,7091.1081675,276683534
2018.08.07,11:24:10,0.03198233,7091.2,276683535
2018.08.07,11:24:10,0.13,7091.2,276683536
2018.08.07,11:24:11,-0.002,7088,276683537
2018.08.07,11:24:17,1,7090.9,276683560
2018.08.07,11:24:17,0.37,7091.68747801,276683562
2018.08.07,11:24:17,1.63,7092.1,276683563
2018.08.07,11:24:21,0.25,7090.9,276683612
2018.08.07,11:24:28,0.5,7090.9,276683637
2018.08.07,11:24:31,-0.7,7090.8,276683643
2018.08.07,11:24:35,0.125,7090.9,276683653
2018.08.07,11:24:45,0.125,7090.9,276683663
2018.08.07,11:24:45,0.125,7090.9,276683664
2018.08.07,11:24:49,-2.38904591,7090.8,276683677
2018.08.07,11:24:49,-5,7090.8,276683678
2018.08.07,11:24:52,0.02544206,7088.9,276683724
2018.08.07,11:24:59,2,7088.9,276683755
2018.08.07,11:25:02,0.0710905,7088.9,276683762
2018.08.07,11:25:03,0.09162832,7088.9,276683766
2018.08.07,11:25:03,0.10137726,7088.9,276683771
2018.08.07,11:25:08,-0.0536,7088.8,276683779
2018.08.07,11:25:09,0.23590392,7088.9,276683782
2018.08.07,11:25:09,1,7089.1,276683783
2018.08.07,11:25:09,0.16925725,7089.4,276683784
2018.08.07,11:25:09,0.1,7089.7,276683785
2018.08.07,11:25:09,0.49483883,7090.6,276683786
2018.08.07,11:25:10,0.07041983,7089.1,276683817
2018.08.07,11:25:10,0.07037123,7089.1,276683822
2018.08.07,11:25:10,0.07010204,7089.1,276683824
2018.08.07,11:25:10,0.1405054,7089.1,276683828
2018.08.07,11:25:11,0.03617583,7089.1,276683841
2018.08.07,11:25:11,-0.08182781,7089.1,276683845
2018.08.07,11:25:11,0.07016756,7090.8,276683850
2018.08.07,11:25:11,0.07010204,7090.8,276683851
2018.08.07,11:25:11,0.12867943,7090.8,276683857
2018.08.07,11:25:11,0.1,7090.8,276683872
2018.08.07,11:25:11,0.02565806,7090.9,276683911
2018.08.07,11:25:11,-0.8548798,7090.8,276683914
2018.08.07,11:25:11,-0.07010204,7090.8,276683915
2018.08.07,11:25:11,-0.04721242,7090.8,276683916
2018.08.07,11:25:11,-0.38757433,7089.1,276683917
2018.08.07,11:25:12,0.01000933,7089,276683928
2018.08.07,11:25:14,1.71822708,7089,276683982
2018.08.07,11:25:14,0.1,7090.8,276683983
2018.08.07,11:25:14,0.18177292,7090.9,276683984
2018.08.07,11:25:29,0.5,7092.4,276684052
2018.08.07,11:25:30,2.7e-07,7092.4,276684058
2018.08.07,11:25:41,-0.0141,7092,276684097
2018.08.07,11:25:50,-0.0141,7092.8,276684111
2018.08.07,11:25:54,0.04880912,7092.9,276684121
2018.08.07,11:25:58,-0.0564,7092.8,276684129
2018.08.07,11:26:01,0.00776195,7092.1,276684140
2018.08.07,11:26:01,0.01192531,7092.1,276684142
2018.08.07,11:26:03,0.0028185,7092.1,276684149
2018.08.07,11:26:03,0.0028198,7092.1,276684155
2018.08.07,11:26:06,0.0099,7092.1,276684169
2018.08.07,11:26:09,-0.0987,7092,276684173
2018.08.07,11:26:12,-2.3872,7092,276684187
2018.08.07,11:26:12,-4.6128,7092,276684188
2018.08.07,11:26:20,0.05029047,7091.9,276684199
2018.08.07,11:26:25,-0.005,7091.8,276684211
2018.08.07,11:26:31,0.02671972,7091.9,276684229
2018.08.07,11:26:33,-0.1,7091.8,276684245
2018.08.07,11:26:39,0.0049,7091.9,276684255
2018.08.07,11:26:44,0.13931097,7091.9,276684266
2018.08.07,11:26:46,-0.0141,7091.8,276684273
2018.08.07,11:26:48,0.12,7091.9,276684285
2018.08.07,11:27:01,0.02258093,7091.9,276684319
2018.08.07,11:27:12,-0.990381,7091.8,276684341
2018.08.07,11:27:12,-0.3872,7091.8,276684342
2018.08.07,11:27:12,-1,7090.8,276684343
2018.08.07,11:27:12,-0.622419,7090.67511108,276684345
2018.08.07,11:27:14,0.003,7090.9,276684349
2018.08.07,11:27:19,-0.01,7090.8,276684373
2018.08.07,11:27:23,-0.05381105,7090.8,276684382
2018.08.07,11:27:28,-0.08744161,7090.8659784,276684397
2018.08.07,11:27:28,-0.04935878,7090.80443452,276684399
2018.08.07,11:27:28,-0.93618895,7090.8,276684400
2018.08.07,11:27:28,-0.60721258,7090.8,276684401
2018.08.07,11:27:28,-0.631581,7090.67511108,276684403
2018.08.07,11:27:28,-0.109297,7090.1,276684404
2018.08.07,11:27:28,-0.03617583,7089.12322975,276684406
2018.08.07,11:27:28,-0.02,7088.9,276684407
2018.08.07,11:27:28,-0.004,7088.8,276684408
2018.08.07,11:27:28,-0.8,7088.8,276684409
2018.08.07,11:27:28,-0.54344824,7088.7,276684410
2018.08.07,11:27:28,-0.17529601,7087.6,276684411
2018.08.07,11:27:31,0.002,7088.5,276684426
2018.08.07,11:27:35,0.002,7088.5,276684432
2018.08.07,11:27:38,-0.25,7088.4,276684438
2018.08.07,11:27:40,0.002,7088.5,276684441
2018.08.07,11:27:45,0.01,7088.5,276684442
2018.08.07,11:27:47,0.002,7088.5,276684445
2018.08.07,11:27:55,0.01389082,7088.5,276684468
2018.08.07,11:27:55,0.09409088,7088.5,276684469
2018.08.07,11:27:55,0.0920183,7088.5,276684470
2018.08.07,11:28:24,0.005,7091.4,276684504
2018.08.07,11:28:32,0.075,7091.4,276684531
2018.08.07,11:28:38,0.002,7091.4,276684564
2018.08.07,11:28:38,0.0684101,7092.1,276684565
2018.08.07,11:28:38,0.15440725,7092.1,276684571
2018.08.07,11:28:41,-0.0005,7092.8,276684576
2018.08.07,11:28:44,0.00900997,7092.9,276684582
2018.08.07,11:29:06,0.1,7092.8,276684640
2018.08.07,11:29:11,0.25,7092.8,276684646
2018.08.07,11:29:38,-0.05353472,7092.7,276684783
2018.08.07,11:29:41,0.022,7092.8,276684788
2018.08.07,11:29:55,0.07034448,7092.8,276684831
2018.08.07,11:30:19,-0.005,7092.7,276684910
2018.08.07,11:30:20,-0.35,7092.7,276684911
2018.08.07,11:30:20,0.005,7092.8,276684913
2018.08.07,11:30:21,0.10653743,7092.8,276684914
2018.08.07,11:30:26,-0.00206386,7092.7,276684928
2018.08.07,11:30:42,2.3e-07,7092.8,276684967
2018.08.07,11:30:46,-0.005,7092.7,276684971
2018.08.07,11:30:46,0.0217884,7092.8,276684977
2018.08.07,11:30:52,0.106,7092.8,276684981
2018.08.07,11:30:53,-0.005,7092.7,276684985
2018.08.07,11:30:53,-0.005,7092.7,276684986
2018.08.07,11:31:14,-0.01,7092.9,276685036
2018.08.07,11:31:48,0.015,7092.8,276685119
2018.08.07,11:31:50,0.0022,7092.8,276685120
2018.08.07,11:31:51,0.005,7092.8,276685123
2018.08.07,11:31:58,0.005,7092.73023692,276685131
2018.08.07,11:32:05,0.005,7092.8,276685138
2018.08.07,11:32:22,-0.1,7092.7,276685166
2018.08.07,11:32:30,0.1601,7092.73023692,276685178
2018.08.07,11:32:47,0.00882312,7092.73023692,276685208
2018.08.07,11:32:51,0.005,7092.73023692,276685215
2018.08.07,11:33:03,0.01,7092.73023692,276685233
2018.08.07,11:33:23,-0.007121,7092.7,276685253
2018.08.07,11:33:37,0.04511617,7092.73023692,276685282
2018.08.07,11:33:40,-0.01,7092.7,276685286
2018.08.07,11:33:42,0.005,7092.73023692,276685293
2018.08.07,11:33:48,-0.01,7092.7,276685315
2018.08.07,11:33:49,0.0142,7092.73023692,276685318
2018.08.07,11:34:07,0.1472,7092.73023692,276685364
2018.08.07,11:34:12,-0.01,7092.7,276685373
2018.08.07,11:34:15,-0.15893,7092.7,276685376
2018.08.07,11:34:15,-5,7091.5,276685377
2018.08.07,11:34:15,-0.44728042,7091.4,276685378
2018.08.07,11:34:15,-0.120363,7091.2,276685379
2018.08.07,11:34:15,-0.00322978,7091,276685380
2018.08.07,11:34:15,-0.12711497,7090.8659784,276685382
2018.08.07,11:34:15,-0.6048015,7090.6,276685383
2018.08.07,11:34:15,-0.1,7090.1,276685384
2018.08.07,11:34:16,0.00405595,7089.2,276685386
2018.08.07,11:34:18,0.19590929,7089.2,276685396
2018.08.07,11:34:20,-0.00570168,7089.1601052,276685400
2018.08.07,11:34:20,-0.00569332,7089.1,276685401
2018.08.07,11:34:40,-0.22217,7089.1601052,276685436
2018.08.07,11:34:40,-0.25400633,7089.1,276685437
2018.08.07,11:34:45,0.07042332,7089.2,276685453
2018.08.07,11:34:46,0.04221022,7089.2,276685465
2018.08.07,11:34:46,0.08004477,7089.2,276685467
2018.08.07,11:34:55,-0.00303844,7089.1,276685475
2018.08.07,11:34:56,-0.026185,7089.1,276685479
2018.08.07,11:34:56,-0.28212326,7089.1,276685481
2018.08.07,11:35:03,0.0206957,7089.2,276685499
2018.08.07,11:35:04,-0.21092598,7089.1,276685500
2018.08.07,11:35:05,-0.00217567,7089.1,276685502
2018.08.07,11:35:05,-0.07454771,7089.1,276685503
2018.08.07,11:35:05,0.00601101,7089.2,276685507
2018.08.07,11:35:22,-0.26000163,7089.1,276685541
2018.08.07,11:35:22,-0.00217567,7089.1,276685542
2018.08.07,11:35:22,-0.0378227,7088.7,276685543
2018.08.07,11:35:32,0.00217567,7089,276685581
2018.08.07,11:35:40,-0.11553633,7089.1,276685602
2018.08.07,11:35:40,-2.88446367,7088.7,276685603
2018.08.07,11:35:48,0.01285486,7088.6,276685635
