Date,Time,Open,High,Low,Close,Volume
2018.02.06,08:00,7280,7206.1,7372.1,7200,2119.6560136
2018.02.06,08:15,7206.1,7124.5,7206.1,7040,2569.85864618
2018.02.06,08:30,7124.5,7012,7126.4,6964.4,2362.86661327
2018.02.06,08:45,7012,7126.3,7145,6971,1735.48826136
2018.02.06,09:00,7126.2,7002,7126.3,6980,1424.87117724
2018.02.06,09:15,7002,6985.3,7029,6920,1175.5894887
2018.02.06,09:30,6985.4,6850,6989.9,6802,2497.31011315
2018.02.06,09:45,6856,7015.1,7015.1,6811,1698.72216717
2018.02.06,10:00,7015.2,7120.1,7165,7013.8,1727.59660361
2018.02.06,10:15,7120.2,7001.5,7125,6978.3,816.58300976
2018.02.06,10:30,7001.5,7157.1,7190,6994,1111.49104641
2018.02.06,10:45,7155.6,7175.6,7197.95683707,7124,733.94530803
2018.02.06,11:00,7171.4,7186.5,7305.8,7164,1715.85276417
2018.02.06,11:15,7186.4,7289.9,7324.2,7181.1,854.01402611
2018.02.06,11:30,7289.9,7418,7450,7240,1635.69812954
2018.02.06,11:45,7418,7522,7585,7412,3070.76234654
2018.02.06,12:00,7521.5,7629.9,7645,7402,2769.94838927
2018.02.06,12:15,7630,7620.7,7690,7528.2,2397.25366357
2018.02.06,12:30,7629.2,7630.9,7748.9,7576.8,1915.71721858
2018.02.06,12:45,7637.1,7500.2,7665,7460,2236.38356337
2018.02.06,13:00,7501,7573,7633,7501,1372.89722088
2018.02.06,13:15,7572.9,7749,7749,7572.9,1547.72433383
2018.02.06,13:30,7749,7700,7880,7676,3579.9836442
2018.02.06,13:45,7700,7740.1,7810,7656,1217.71705235
2018.02.06,14:00,7740,7562.9,7779.9,7528.4,1106.02201287
2018.02.06,14:15,7562.9,7679.1,7692,7485,1143.46264726
2018.02.06,14:30,7677.8,7510.4,7678,7450,1058.6163429
2018.02.06,14:45,7510.4,7628.3,7661,7505.1,604.877649
2018.02.06,15:00,7630.3,7655.5,7740,7546,958.89986294
2018.02.06,15:15,7662.7,7678.9,7760,7622,732.67984613
2018.02.06,15:30,7678.9,7791,7850,7631.1,793.48139392
2018.02.06,15:45,7791.2,7678.8,7835,7650,1191.07365998
2018.02.06,16:00,7677.2,7569.6,7787.1,7567.1,1053.03523749
2018.02.06,16:15,7569.5,7541.9,7659.5,7518,1260.58026019
2018.02.06,16:30,7541.1,7539.2,7587,7402.1,1617.94206606
